id,scam_type,message,description,language,target_info_requested,medium
27,WhatsApp Account Hacking Scam,"Hey, this is Shalv. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
28,Fake Job Offer Scam,"Hi, this is Kartik from HR at Agate, Ahuja and Kamdar. You've been shortlisted for a remote role. Pay ₹524 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
29,Fake Discount/Refund Scam,"You are eligible for a ₹38218 refund from Raval, Ganesh and Tak. Please share your bank details to process it.",Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
30,Tax Refund Scam,Your tax refund of ₹39727 is ready. Click here to verify your info: http://yogi-chokshi.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
31,Fake Technical Support Scam,"This is Jhanvi from Sundaram, Ramachandran and Choudhry Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
32,Tax Refund Scam,Your tax refund of ₹27359 is ready. Click here to verify your info: http://chaudhuri.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
33,Fake Job Offer Scam,"Hi, this is Kaira from HR at Sawhney-Khurana. You've been shortlisted for a remote role. Pay ₹826 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
34,Fake E-commerce Scam,Get AirPods Pro for just ₹63540. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
35,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹28491 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 01462224334.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
36,Fake Charity/Donation Scam,We're raising funds for flood victims in Meghalaya. Please donate what you can to UPI ID: yadavadah@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
37,Tax Refund Scam,Your tax refund of ₹87786 is ready. Click here to verify your info: http://keer-karan.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
38,Fake Technical Support Scam,This is Priyansh from Sheth-Savant Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
39,Fake Job Offer Scam,"Hi, this is Oorja from HR at Chada-Kanda. You've been shortlisted for a remote role. Pay ₹662 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
40,Friend in Distress Scam,"Hey, it's Anya. I'm stuck in Durgapur and need ₹11342 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
41,Fake Job Offer Scam,"Hi, this is Shayak from HR at Dara, Chandra and Bath. You've been shortlisted for a remote role. Pay ₹568 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
42,Cryptocurrency Investment Scam,Invest ₹12880 in our crypto plan and get ₹79366 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
43,SIM Card Replacement Scam,"Hi, this is Jio support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
44,SIM Card Replacement Scam,"Hi, this is Vi support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
45,UPI Scam,"Your HDFC account is blocked. To unblock, pay ₹36843 to UPI ID: asandhu@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
46,Fake Loan Approval Scam,You are pre-approved for a ₹6834 loan. Pay ₹813 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
47,Fake Technical Support Scam,This is Elakshi from Das and Sons Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
48,UPI Scam,"Your HDFC account is blocked. To unblock, pay ₹92747 to UPI ID: dhanush64@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
49,Fake Discount/Refund Scam,You are eligible for a ₹16245 refund from Chad PLC. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
50,WhatsApp Account Hacking Scam,"Hey, this is Divyansh. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
51,Tax Refund Scam,Your tax refund of ₹34908 is ready. Click here to verify your info: http://ghose.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
52,Friend in Distress Scam,"Hey, it's Dhanuk. I'm stuck in Hazaribagh and need ₹21782 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
53,Tax Refund Scam,Your tax refund of ₹97972 is ready. Click here to verify your info: http://choudhary.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
54,Fake Charity/Donation Scam,We're raising funds for flood victims in Kerala. Please donate what you can to UPI ID: bgala@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
55,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹69959 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 3812352011.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
56,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹65385 to UPI ID: indrajitbhattacharyya@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
57,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹10049 to UPI ID: kaira14@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
58,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹32385 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 06541626171.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
59,Fake Charity/Donation Scam,We're raising funds for flood victims in Mizoram. Please donate what you can to UPI ID: arhaan61@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
60,Fake Charity/Donation Scam,We're raising funds for flood victims in West Bengal. Please donate what you can to UPI ID: sureshsiya@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
61,Fake Job Offer Scam,"Hi, this is Miraan from HR at Bir, Majumdar and Goswami. You've been shortlisted for a remote role. Pay ₹866 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
62,WhatsApp Account Hacking Scam,"Hey, this is Anya. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
63,UPI Scam,"Your HDFC account is blocked. To unblock, pay ₹12943 to UPI ID: nirviwagle@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
64,Fake Technical Support Scam,This is Devansh from Chander LLC Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
65,Cryptocurrency Investment Scam,Invest ₹72294 in our crypto plan and get ₹56476 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
66,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹88898 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 06535538010.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
67,Fake Job Offer Scam,"Hi, this is Anahi from HR at Choudhry, Ramaswamy and Khare. You've been shortlisted for a remote role. Pay ₹534 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
68,Fake Technical Support Scam,This is Shayak from Apte-Ravi Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
69,Cryptocurrency Investment Scam,Invest ₹9041 in our crypto plan and get ₹77410 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
70,Fake Job Offer Scam,"Hi, this is Kabir from HR at Bhatia, Kade and Chand. You've been shortlisted for a remote role. Pay ₹339 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
71,Fake Job Offer Scam,"Hi, this is Hrishita from HR at Magar Inc. You've been shortlisted for a remote role. Pay ₹354 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
72,Fake Loan Approval Scam,You are pre-approved for a ₹39767 loan. Pay ₹979 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
73,Fake Charity/Donation Scam,We're raising funds for flood victims in Odisha. Please donate what you can to UPI ID: kranganathan@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
74,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹6652 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 05430538145.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
75,Fake Loan Approval Scam,You are pre-approved for a ₹89781 loan. Pay ₹566 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
76,Fake Discount/Refund Scam,"You are eligible for a ₹6450 refund from Varghese, Keer and Iyer. Please share your bank details to process it.",Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
77,Fake Technical Support Scam,This is Kiaan from Lanka-Khosla Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
78,Fake Charity/Donation Scam,We're raising funds for flood victims in Uttarakhand. Please donate what you can to UPI ID: elakshidin@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
79,Phishing Scam (Link Sharing),Your ICICI account is at risk. Click here to verify your info: http://vaidya.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
80,Friend in Distress Scam,"Hey, it's Anay. I'm stuck in Ludhiana and need ₹32759 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
81,Fake Charity/Donation Scam,We're raising funds for flood victims in Goa. Please donate what you can to UPI ID: kundafaiyaz@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
82,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹94002 to UPI ID: taran35@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
83,Fake Loan Approval Scam,You are pre-approved for a ₹92835 loan. Pay ₹356 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
84,Fake Discount/Refund Scam,"You are eligible for a ₹41742 refund from Madan, Bhattacharyya and Subramaniam. Please share your bank details to process it.",Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
85,Cryptocurrency Investment Scam,Invest ₹2965 in our crypto plan and get ₹77516 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
86,Fake Loan Approval Scam,You are pre-approved for a ₹32451 loan. Pay ₹971 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
87,SIM Card Replacement Scam,"Hi, this is Vi support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
88,Fake Technical Support Scam,"This is Siya from Sane, Gara and Grover Support. Your device has malware. Please install TeamViewer and share the code.",Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
89,Fake Technical Support Scam,This is Gatik from Bir-Lal Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
90,UPI Scam,"Your Axis account is blocked. To unblock, pay ₹84581 to UPI ID: riaanbahri@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
91,Fake Job Offer Scam,"Hi, this is Dharmajan from HR at Garde LLC. You've been shortlisted for a remote role. Pay ₹523 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
92,Fake Job Offer Scam,"Hi, this is Mahika from HR at Sarin Ltd. You've been shortlisted for a remote role. Pay ₹552 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
93,UPI Scam,"Your ICICI account is blocked. To unblock, pay ₹31550 to UPI ID: damini29@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
94,Fake Charity/Donation Scam,We're raising funds for flood victims in Mizoram. Please donate what you can to UPI ID: dharmajankumar@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
95,Fake Technical Support Scam,This is Lavanya from Ramesh-Kuruvilla Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
96,Fake Charity/Donation Scam,We're raising funds for flood victims in Jharkhand. Please donate what you can to UPI ID: sgera@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
97,WhatsApp Account Hacking Scam,"Hey, this is Gatik. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
98,Tax Refund Scam,Your tax refund of ₹14280 is ready. Click here to verify your info: http://mangat.org,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
99,Phishing Scam (Link Sharing),Your SBI account is at risk. Click here to verify your info: http://deshmukh.org,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
100,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
101,Friend in Distress Scam,"Hey, it's Biju. I'm stuck in Hajipur and need ₹70374 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
102,SIM Card Replacement Scam,"Hi, this is Vi support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
103,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹53574 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 04640190139.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
104,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
105,Fake Technical Support Scam,This is Anya from Vyas PLC Support. Your device has malware. Please install TeamViewer and share the code.,Scammers pose as tech support agents to gain remote access and demand payment after pretending to 'fix' fake issues.,English,"Remote access, payment",WhatsApp
106,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹81601 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 0272194471.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
107,WhatsApp Account Hacking Scam,"Hey, this is Rhea. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
108,Fake Discount/Refund Scam,You are eligible for a ₹18348 refund from Bhakta-Dhawan. Please share your bank details to process it.,Scammers impersonate companies and request bank details to 'process' fake refunds.,English,Bank details,WhatsApp
109,UPI Scam,"Your HDFC account is blocked. To unblock, pay ₹76936 to UPI ID: mishti29@upi.",Scammers impersonate banks and urge victims to make fake urgent payments via UPI.,English,UPI payment,WhatsApp
110,Phishing Scam (Link Sharing),Your Axis account is at risk. Click here to verify your info: http://bobal.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
111,Fake Charity/Donation Scam,We're raising funds for flood victims in Karnataka. Please donate what you can to UPI ID: duttvaibhav@upi,Scammers impersonate charities and request urgent donations via UPI or bank transfer.,English,Donation via UPI,WhatsApp
112,Fake E-commerce Scam,Get Smartwatch for just ₹81788. DM on WhatsApp to order now. Prepay to confirm.,"Fraudsters advertise too-good-to-be-true deals, take money, and disappear or send fake products.",English,Online payment,WhatsApp
113,Friend in Distress Scam,"Hey, it's Samar. I'm stuck in Udupi and need ₹83698 urgently. Can you UPI me?",Impersonators pretend to be friends in trouble and ask for emergency funds via UPI or bank transfer.,English,UPI transfer,WhatsApp
114,Tax Refund Scam,Your tax refund of ₹90065 is ready. Click here to verify your info: http://shankar-warrior.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
115,Fake Job Offer Scam,"Hi, this is Divit from HR at Kanda, Dave and Sood. You've been shortlisted for a remote role. Pay ₹732 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
116,SIM Card Replacement Scam,"Hi, this is Airtel support. We're upgrading your SIM. Send your Aadhaar and OTP to continue.",The scammer initiates a SIM swap to gain control over the victim's phone number for fraud.,English,"Aadhaar, OTP",WhatsApp
117,Phishing Scam (Link Sharing),Your ICICI account is at risk. Click here to verify your info: http://gole.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
118,Fake Loan Approval Scam,You are pre-approved for a ₹91927 loan. Pay ₹826 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
119,Tax Refund Scam,Your tax refund of ₹55029 is ready. Click here to verify your info: http://venkataraman.com,Fraudsters impersonate tax authorities and request personal details or payments to process fake refunds.,English,"Bank details, OTP",WhatsApp
120,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹55070 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to 06304443803.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
121,Fake Job Offer Scam,"Hi, this is Shray from HR at Subramanian Inc. You've been shortlisted for a remote role. Pay ₹947 as a registration fee.",Fraudsters pretend to be from well-known companies and ask for money upfront for fake jobs.,English,Payment for registration,WhatsApp
122,Phishing Scam (Link Sharing),Your HDFC account is at risk. Click here to verify your info: http://chowdhury.com,Phishing links mimic legitimate websites and trick users into submitting sensitive data.,English,Bank login credentials,WhatsApp
123,Cryptocurrency Investment Scam,Invest ₹74930 in our crypto plan and get ₹45449 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
124,Cryptocurrency Investment Scam,Invest ₹28825 in our crypto plan and get ₹74220 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
125,WhatsApp Account Hacking Scam,"Hey, this is Amira. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
126,WhatsApp Account Hacking Scam,"Hey, this is Saanvi. I accidentally sent my OTP to your number. Can you send it to me quickly?",A scammer pretends to be a friend and tricks victims into sharing the OTP meant to hijack their WhatsApp account.,English,OTP,WhatsApp
127,WhatsApp Lottery/Prize Scam,"Congratulations! You've won ₹2057 in the WhatsApp Mega Draw. To claim, send your full name, bank account number, and Aadhaar to +918821851339.",Victims receive fake prize messages and are asked for personal or banking info to claim the prize.,English,"Bank details, Aadhaar card",WhatsApp
128,Fake Loan Approval Scam,You are pre-approved for a ₹80844 loan. Pay ₹631 as a processing fee to receive the funds.,Scammers offer fake loans and ask for an upfront processing fee but never provide the loan.,English,Processing fee,WhatsApp
129,Cryptocurrency Investment Scam,Invest ₹35566 in our crypto plan and get ₹60262 in a week. Limited slots!,"Victims are lured with promises of high returns on crypto investments, but the scammers vanish with the money.",English,Initial investment,WhatsApp
